agrupacion_id,eleccion_id,nombre,agrupacioninterna
0177,1,GEN,
0502,4,UNEN,
0331,4,ACCION MARPLATENSE,
0000,7,"",
0181,8,VERDE,
0532,1,FRENTE FEDERAL,
0040,1,MOVIMIENTO LIBRES DEL SUR,
0521,1,FRENTE CIVICO POR SANTIAGO,
0002,1,JUSTICIALISTA,
0187,1,SOCIAL PATAGONICO,
0001,1,MOVIMIENTO DE INTEGRACION Y DESARROLLO,
0045,1,DE LOS TRABAJADORES SOCIALISTAS,
0030,1,SOCIALISTA AUTENTICO,
0199,1,NUEVO ENCUENTRO,
0128,1,MOVIMIENTO AMPLIO DE TRABAJADORES,
0540,1,ALIANZA TODOS POR SAN JUAN,
0539,1,ALIANZA FRENTE OPOSITOR,
0541,1,"ALIANZA UNION, PRODUCCION Y TRABAJO",
0610,2,Alianza Frente Cívico por Santiago                                                                  ,
0242,2,Unión Vecinal Conservadora                                                                          ,
0040,2,Movimiento Libres del Sur                                                                           ,
0252,2,Renovación Vecinal Auténtica                                                                        ,
0225,2,Fza. Organizada Renovadora Democrática                                                              ,
0604,2,Alianza Frente Popular                                                                              ,
0611,2,Alianza Frente Cívico y Social                                                                      ,
0176,2,Partido Popular de la Reconstrucción                                                                ,
0038,2,Movimiento Socialista de los Trabajadores                                                           ,
0158,2,Unión Provincial Compromiso Federal                                                                 ,
0619,2,Alianza Frente Federal                                                                              ,
0626,2,Alianza Frente Justicialista para la Victoria                                                       ,
0050,2,Partido Socialista                                                                                  ,
0502,1,ALIANZA FRENTE CIVICO Y SOCIAL,
0069,2,GEN                                                                                                 ,
0060,2,Movimiento Independiente de Jubilados y Desocupados                                                 ,
0151,2,Partido Independiente de Chubut                                                                     ,
0186,2,Unión por la Libertad                                                                               ,
0257,2,Nuevo Zarate                                                                                        ,
0014,2,Partido Obrero                                                                                      ,
0185,2,Partido Cambio Popular Tucumano                                                                     ,
0606,2,Alianza Frente Salteño                                                                              ,
0068,2,Nueva Izquierda                                                                                     ,
0150,2,Movimiento Popular Neuquino                                                                         ,
0168,2,Partido Dignidad Ciudadana                                                                          ,
0061,2,Izquierda por una Opción Socialista                                                                 ,
0615,2,Alianza Frente Renovador de la Concordia                                                            ,
0211,2,Izquierda del Trabajador por el Socialismo                                                          ,
0621,2,Alianza Frente Compromiso Federal                                                                   ,
0620,2,Alianza Frente Popular Unión Pro                                                                    ,
0609,2,Alianza Frente Cívico Federal - UDESO Mendoza                                                       ,
0008,2,Partido Federal                                                                                     ,
0614,2,Alianza Frente Primero Jujuy                                                                        ,
0063,2,Es Posible                                                                                          ,
0187,4,AUTODETERMINACION Y LIBERTAD,
0037,1,DEL CAMPO POPULAR,
0047,1,COALICION CIVICA ARI,
0057,1,MOVIMIENTO DE ACCION VECINAL,
0131,1,ALIANZA FRENTE PARA LA VICTORIA,
0132,1,ALIANZA FRENTE POPULAR,
0133,1,ALIANZA COMPROMISO FEDERAL,
0134,1,ALIANZA FRENTE AMPLIO PROGRESISTA,
0135,1,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,
0136,1,ALIANZA PROYECTO SUR,
0137,1,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,
0000,1,"",
0509,1,COMPROMISO FEDERAL,
0179,1,ACCION CIUDADANA,
0501,1,ALIANZA FRENTE PARA LA VICTORIA,
0003,1,UNION CIVICA RADICAL,
0064,1,PRO-PROPUESTA REPUBLICANA,
