distrito_id,seccion_id,circuito_id,nombre,municipio_id,eleccionorigen_id
6,10,00074,00074,,1
2,65,00545,00545,,1
22,11,00102,00102,,1
22,12,00103,00103,,1
22,12,00104,00104,,1
22,4,00035,00035,,1
22,4,00036,00036,,1
21,17,0275A,0275A,,1
21,13,00323,00323,,1
19,2,00024,00024,,1
19,2,00025,00025,,1
19,2,00026,00026,,1
19,2,0026A,0026A,,1
19,2,00028,00028,,1
18,14,00099,00099,,1
17,1,0001B,0001B,,1
15,15,00057,00057,,1
4,3,0031A,0031A,,1
4,6,00090,00090,,1
4,7,00095,00095,,1
2,103,00870,00870,,1
2,105,00874,00874,,1
2,105,00875,00875,,1
4,1,0012H,0012H,,1
2,28,0258C,0258C,,1
2,101,0857B,0857B,,1
2,101,00858,00858,,1
2,29,00195,00195,,1
4,1,0013G,0013G,,1
21,15,0362C,0362C,,1
2,106,00894,00894,,1
21,15,00363,00363,,1
4,1,0013H,0013H,,1
4,11,00145,00145,,1
21,16,00174,00174,,1
21,16,00175,00175,,1
4,12,0156D,0156D,,1
4,12,0156E,0156E,,1
21,16,00176,00176,,1
21,16,00177,00177,,1
1,12,00128,00128,,1
21,13,00324,00324,,1
21,12,00291,00291,,1
21,11,00073,00073,,1
21,11,00074,00074,,1
21,11,00075,00075,,1
21,10,00022,00022,,1
21,9,00018,00018,,1
4,17,00257,00257,,1
4,13,00194,00194,,1
4,14,00195,00195,,1
4,14,00196,00196,,1
4,14,00197,00197,,1
4,14,00211,00211,,1
4,14,0212B,0212B,,1
21,13,00327,00327,,1
4,13,00163,00163,,1
4,1,0014A,0014A,,1
2,113,00533,00533,,1
4,1,0013I,0013I,,1
4,1,0013J,0013J,,1
21,21,00160,00160,,1
4,8,00107,00107,,1
4,2,00015,00015,,1
4,7,00101,00101,,1
4,8,00102,00102,,1
6,15,00106,00106,,1
7,1,00001,00001,,1
7,1,00002,00002,,1
7,1,00004,00004,,1
21,14,0349D,0349D,,1
7,13,00079,00079,,1
7,1,00022,00022,,1
7,1,00023,00023,,1
7,15,00094,00094,,1
7,5,00041,00041,,1
8,6,00112,00112,,1
8,3,00075,00075,,1
8,3,00076,00076,,1
7,7,00058,00058,,1
7,8,00060,00060,,1
8,9,00167,00167,,1
8,9,00168,00168,,1
8,9,00169,00169,,1
8,9,00176,00176,,1
8,9,00178,00178,,1
8,4,00096,00096,,1
8,10,00206,00206,,1
8,11,00208,00208,,1
18,6,00059,00059,,1
14,10,0059B,0059B,,1
14,10,00060,00060,,1
21,15,00350,00350,,1
21,15,0350A,0350A,,1
13,16,00110,00110,,1
12,8,0030C,0030C,,1
12,8,0031A,0031A,,1
8,9,00170,00170,,1
7,15,00091,00091,,1
7,15,00092,00092,,1
6,22,00126,00126,,1
6,3,00034,00034,,1
6,3,00035,00035,,1
5,1,0011A,0011A,,1
4,22,00333,00333,,1
4,22,00334,00334,,1
4,1,0013C,0013C,,1
4,1,0013D,0013D,,1
4,1,0013E,0013E,,1
3,2,00016,00016,,1
3,2,00017,00017,,1
3,2,00018,00018,,1
3,2,00019,00019,,1
3,2,00020,00020,,1
3,2,00021,00021,,1
2,91,00776,00776,,1
2,91,00777,00777,,1
2,91,0777A,0777A,,1
2,91,00778,00778,,1
2,83,00698,00698,,1
2,83,00699,00699,,1
2,83,00700,00700,,1
2,83,00701,00701,,1
2,83,0701A,0701A,,1
10,5,00038,00038,,1
10,5,00039,00039,,1
21,16,00195,00195,,1
21,16,00198,00198,,1
21,16,00199,00199,,1
21,16,00200,00200,,1
21,16,00201,00201,,1
21,16,00202,00202,,1
21,16,00203,00203,,1
2,72,00605,00605,,1
21,20,0425B,0425B,,1
21,21,00153,00153,,1
21,21,00154,00154,,1
21,21,00155,00155,,1
21,21,00157,00157,,1
21,21,00169,00169,,1
2,87,0753A,0753A,,1
2,87,00754,00754,,1
2,87,0754A,0754A,,1
21,13,00333,00333,,1
2,103,00869,00869,,1
2,101,00857,00857,,1
2,101,0857A,0857A,,1
2,94,00806,00806,,1
2,94,00808,00808,,1
21,13,00337,00337,,1
21,13,00339,00339,,1
21,8,00407,00407,,1
21,7,0221A,0221A,,1
21,6,0393A,0393A,,1
21,4,00378,00378,,1
21,4,0377A,0377A,,1
21,2,0368C,0368C,,1
6,11,00076,00076,,1
6,11,00077,00077,,1
6,11,00078,00078,,1
6,7,00052,00052,,1
6,7,00053,00053,,1
6,7,00054,00054,,1
6,8,00061,00061,,1
6,8,00062,00062,,1
6,1,0022B,0022B,,1
6,1,00023,00023,,1
6,1,00026,00026,,1
6,2,00029,00029,,1
6,3,00032,00032,,1
6,4,00037,00037,,1
6,4,00038,00038,,1
6,5,00041,00041,,1
6,5,00044,00044,,1
6,1,0016B,0016B,,1
6,1,0016C,0016C,,1
6,1,00017,00017,,1
6,1,00018,00018,,1
6,1,00021,00021,,1
6,1,0022A,0022A,,1
6,1,0013B,0013B,,1
6,1,00014,00014,,1
6,1,00015,00015,,1
6,1,0005B,0005B,,1
6,1,0008A,0008A,,1
5,19,00119,00119,,1
5,21,00128,00128,,1
5,23,00136,00136,,1
5,24,00144,00144,,1
5,25,00145,00145,,1
20,1,00001,00001,,1
20,1,0001A,0001A,,1
20,1,00002,00002,,1
21,19,0208A,0208A,,1
2,18,00122,00122,,1
21,19,0208B,0208B,,1
21,19,0208C,0208C,,1
21,19,00209,00209,,1
2,28,0256A,0256A,,1
2,28,00257,00257,,1
2,28,00258,00258,,1
2,28,0258A,0258A,,1
2,12,00512,00512,,1
2,7,00074,00074,,1
2,13,00128,00128,,1
2,13,00129,00129,,1
2,13,00130,00130,,1
7,6,00046,00046,,1
7,7,0058A,0058A,,1
4,26,00400,00400,,1
5,1,0002A,0002A,,1
7,1,00018,00018,,1
7,1,00019,00019,,1
7,1,00010,00010,,1
7,1,00011,00011,,1
6,24,00133,00133,,1
6,25,0135A,0135A,,1
6,19,00118,00118,,1
6,17,00111,00111,,1
6,13,00091,00091,,1
6,12,00084,00084,,1
6,8,00063,00063,,1
6,8,00059,00059,,1
6,1,00025,00025,,1
6,2,00030,00030,,1
6,1,00001,00001,,1
5,16,00096,00096,,1
5,18,00109,00109,,1
5,18,00110,00110,,1
5,20,00125,00125,,1
5,21,00126,00126,,1
5,10,00061,00061,,1
5,10,00062,00062,,1
5,12,00072,00072,,1
5,14,00085,00085,,1
5,8,00049,00049,,1
5,9,00055,00055,,1
5,5,00030,00030,,1
5,5,00031,00031,,1
5,6,00038,00038,,1
21,7,00230,00230,,1
21,7,0230A,0230A,,1
21,9,00035,00035,,1
21,9,00036,00036,,1
21,9,00038,00038,,1
21,9,00011,00011,,1
21,10,00020,00020,,1
21,9,00032,00032,,1
21,7,00238,00238,,1
21,7,00239,00239,,1
21,10,00029,00029,,1
21,10,00033,00033,,1
21,11,00044,00044,,1
21,9,00034,00034,,1
21,10,00023,00023,,1
21,12,00285,00285,,1
21,10,00024,00024,,1
21,12,00292,00292,,1
21,13,00302,00302,,1
21,10,00027,00027,,1
21,10,0020A,0020A,,1
21,11,0055C,0055C,,1
21,11,0055D,0055D,,1
21,9,00014,00014,,1
21,13,00322,00322,,1
21,11,00060,00060,,1
21,13,00325,00325,,1
21,13,00312,00312,,1
21,11,00045,00045,,1
21,13,00315,00315,,1
21,13,00318,00318,,1
21,11,00053,00053,,1
21,13,00332,00332,,1
21,13,00304,00304,,1
21,13,00334,00334,,1
21,10,0020B,0020B,,1
21,13,00326,00326,,1
21,14,0342A,0342A,,1
21,13,00307,00307,,1
21,14,0342B,0342B,,1
21,13,00328,00328,,1
21,14,00344,00344,,1
21,11,00055,00055,,1
21,14,00348,00348,,1
21,13,00329,00329,,1
21,14,0347A,0347A,,1
21,13,00309,00309,,1
21,14,0349B,0349B,,1
21,14,00349,00349,,1
21,13,00320,00320,,1
21,14,0354A,0354A,,1
